record,code_region,Region,Annee,code_indicateur,Indicateur,code_type_uai,type_administration,code_sexe,Sexe,code_type_pers,type_personnel,etat_donnees,Valeur
1382,26,Bourgogne,2012,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.1
1383,26,Bourgogne,2012,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,22.6
1384,26,Bourgogne,2012,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,27.05
1385,26,Bourgogne,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,1.7
1386,26,Bourgogne,2013,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,semi-definitif,0.05
1387,26,Bourgogne,2013,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,semi-definitif,0.5
1388,26,Bourgogne,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,semi-definitif,748.21
1389,31,Nord-Pas-de-Calais,2008,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,29.15
1390,31,Nord-Pas-de-Calais,2008,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,6.36
1391,31,Nord-Pas-de-Calais,2009,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,291.07
1392,21,Champagne-Ardenne,2009,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.12
1393,21,Champagne-Ardenne,2010,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,74.73
1394,21,Champagne-Ardenne,2011,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,80.24
1395,21,Champagne-Ardenne,2011,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.19
1396,21,Champagne-Ardenne,2011,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,666.81
1397,21,Champagne-Ardenne,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,25.0
1398,21,Champagne-Ardenne,2013,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,semi-definitif,82.06
1399,21,Champagne-Ardenne,2013,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,semi-definitif,0.07
1400,21,Champagne-Ardenne,2013,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,semi-definitif,26.48
1401,41,Lorraine,2004,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,24.62
1402,41,Lorraine,2004,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
1403,41,Lorraine,2004,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,40.9
1404,41,Lorraine,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,24.0
1405,41,Lorraine,2005,dird,Depense interieure de R&D,2,EPST,,,,,definitif,106.26
1406,41,Lorraine,2005,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1688.08
1407,41,Lorraine,2005,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,436.27
1408,41,Lorraine,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,168.63
1409,41,Lorraine,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,445.2
1410,41,Lorraine,2005,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,6.5
1411,41,Lorraine,2005,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
1412,41,Lorraine,2006,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,259.0
1413,41,Lorraine,2006,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,10.52
1414,41,Lorraine,2007,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,168.38
1415,41,Lorraine,2007,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,18.77
1416,41,Lorraine,2007,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,236.0
1417,41,Lorraine,2007,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,118.0
1418,41,Lorraine,2007,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1347.4
1419,41,Lorraine,2007,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,10.4
1420,41,Lorraine,2007,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
1421,41,Lorraine,2007,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,54.11
1422,41,Lorraine,2007,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,40.06
1423,41,Lorraine,2008,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,199.88
1424,41,Lorraine,2008,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,11.26
1425,41,Lorraine,2008,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,213.0
1426,41,Lorraine,2008,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,460.24
1427,41,Lorraine,2008,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,35.0
1428,41,Lorraine,2008,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
1429,41,Lorraine,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,73.35
1430,41,Lorraine,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,42.21
1431,41,Lorraine,2008,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,40.06
1432,41,Lorraine,2009,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,26.27
1433,41,Lorraine,2009,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,19.19
1434,41,Lorraine,2009,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,363.84
1435,41,Lorraine,2009,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,116.5
1436,41,Lorraine,2010,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,8.15
1437,41,Lorraine,2010,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,3.71
1438,41,Lorraine,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,197.7
1439,41,Lorraine,2010,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,12.0
1440,41,Lorraine,2010,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,1.77
1441,41,Lorraine,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,7.37
1442,41,Lorraine,2011,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,14.05
1443,41,Lorraine,2011,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,4.03
1444,41,Lorraine,2012,dird,Depense interieure de R&D,2,EPST,,,,,definitif,153.46
1445,41,Lorraine,2012,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,0.51
1446,41,Lorraine,2012,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,7.4
1447,41,Lorraine,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,447.69
1448,41,Lorraine,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,220.59
1449,41,Lorraine,2013,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,semi-definitif,8.64
1450,41,Lorraine,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,semi-definitif,824.91
1451,42,Alsace,2001,dird,Depense interieure de R&D,2,EPST,,,,,definitif,137.73
1452,42,Alsace,2001,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1614.8
1453,42,Alsace,2001,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,679.6
1454,42,Alsace,2001,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,283.1
1455,42,Alsace,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,13.7
1456,42,Alsace,2002,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1.12
1457,42,Alsace,2002,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,300.9
1458,42,Alsace,2002,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,499.7
1459,42,Alsace,2002,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,1.0
1460,42,Alsace,2003,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,382.24
1461,42,Alsace,2003,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,474.23
1462,42,Alsace,2003,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,52.45
1463,42,Alsace,2004,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,152.51
1464,42,Alsace,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,699.1
1465,42,Alsace,2004,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,300.2
1466,42,Alsace,2004,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.5
1467,42,Alsace,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,15.17
1468,42,Alsace,2005,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,52.45
1469,42,Alsace,2006,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,155.89
1470,42,Alsace,2006,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,704.15
1471,42,Alsace,2006,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,320.9
1472,42,Alsace,2007,dird,Depense interieure de R&D,2,EPST,,,,,definitif,182.32
1473,42,Alsace,2007,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,283.0
1474,1,Guadeloupe,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,83.29
1475,1,Guadeloupe,2010,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,1.0
1476,1,Guadeloupe,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,105.18
1477,1,Guadeloupe,2011,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,3.0
1478,1,Guadeloupe,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,2.0
1479,1,Guadeloupe,2012,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,10.46
1480,1,Guadeloupe,2012,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,239.4
1481,1,Guadeloupe,2012,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,127.1
1482,1,Guadeloupe,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,34.5
1483,2,Martinique,2010,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,12.7
1484,2,Martinique,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,3.0
1485,2,Martinique,2010,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,32.0
1486,3,Guyane,2010,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,4.0
1487,3,Guyane,2010,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,37.9
1488,3,Guyane,2010,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,61.84
1489,3,Guyane,2011,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,53.39
1490,3,Guyane,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,18.09
1491,3,Guyane,2013,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,semi-definitif,6.0
1492,4,La Reunion,2010,dird,Depense interieure de R&D,2,EPST,,,,,definitif,5.73
1493,4,La Reunion,2010,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,96.9
1494,4,La Reunion,2010,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,35.1
1495,4,La Reunion,2011,dird,Depense interieure de R&D,2,EPST,,,,,definitif,5.78
1496,4,La Reunion,2011,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,1.33
1497,4,La Reunion,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,1.33
1498,4,La Reunion,2012,dird,Depense interieure de R&D,2,EPST,,,,,definitif,3.89
1499,4,La Reunion,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,21.08
1500,4,La Reunion,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,10.96
1501,99,etranger,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,168.8
1502,99,etranger,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,168.94
1503,99,etranger,2013,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,semi-definitif,1.04
1504,99,etranger,2013,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,semi-definitif,100.01
1505,73,Midi-Pyrenees,2003,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,323.44
1506,73,Midi-Pyrenees,2003,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,27.96
1507,73,Midi-Pyrenees,2004,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,2646.36
1508,73,Midi-Pyrenees,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,604.54
1509,73,Midi-Pyrenees,2004,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,512.38
1510,73,Midi-Pyrenees,2004,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,70.3
1511,73,Midi-Pyrenees,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,105.18
1512,73,Midi-Pyrenees,2005,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,4.76
1513,73,Midi-Pyrenees,2005,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,626.82
1514,73,Midi-Pyrenees,2005,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,1208.22
1515,73,Midi-Pyrenees,2005,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
1516,73,Midi-Pyrenees,2006,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,642.25
1517,73,Midi-Pyrenees,2006,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,749.29
1518,73,Midi-Pyrenees,2006,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,375.91
1519,73,Midi-Pyrenees,2006,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,27.7
1520,73,Midi-Pyrenees,2006,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,104.5
1521,73,Midi-Pyrenees,2007,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,321.7
1522,73,Midi-Pyrenees,2007,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,40.69
1523,73,Midi-Pyrenees,2007,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,760.48
1524,73,Midi-Pyrenees,2007,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,1251.22
1525,73,Midi-Pyrenees,2007,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,404.63
1526,73,Midi-Pyrenees,2007,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,66.23
1527,73,Midi-Pyrenees,2007,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,104.5
1528,73,Midi-Pyrenees,2008,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,17.76
1529,73,Midi-Pyrenees,2008,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,640.9
1530,73,Midi-Pyrenees,2008,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,916.85
1531,73,Midi-Pyrenees,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,25.9
1532,73,Midi-Pyrenees,2009,dird,Depense interieure de R&D,2,EPST,,,,,definitif,235.63
1533,73,Midi-Pyrenees,2009,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,60.5
1534,73,Midi-Pyrenees,2009,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,22.69
1535,73,Midi-Pyrenees,2009,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,1166.35
1536,73,Midi-Pyrenees,2009,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,240.11
1537,73,Midi-Pyrenees,2009,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,16.53
1538,73,Midi-Pyrenees,2010,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,1117.31
1539,73,Midi-Pyrenees,2010,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,793.1
1540,73,Midi-Pyrenees,2011,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,375.18
1541,73,Midi-Pyrenees,2011,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,96.19
1542,73,Midi-Pyrenees,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,1215.02
1543,73,Midi-Pyrenees,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,205.12
1544,73,Midi-Pyrenees,2011,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,236.74
1545,73,Midi-Pyrenees,2011,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,141.47
1546,73,Midi-Pyrenees,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,30.67
1547,73,Midi-Pyrenees,2012,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,380.76
1548,73,Midi-Pyrenees,2012,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,2566.73
1549,73,Midi-Pyrenees,2012,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,1157.89
1550,73,Midi-Pyrenees,2012,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,152.59
1551,73,Midi-Pyrenees,2013,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,semi-definitif,217.94
1552,73,Midi-Pyrenees,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,semi-definitif,1173.16
1553,73,Midi-Pyrenees,2013,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,semi-definitif,181.42
1554,73,Midi-Pyrenees,2013,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,semi-definitif,141.23
1555,74,Limousin,2001,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,9.7
1556,74,Limousin,2002,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,44.41
1557,74,Limousin,2002,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,134.1
1558,74,Limousin,2002,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,57.1
1559,74,Limousin,2002,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,5.5
1560,74,Limousin,2003,dird,Depense interieure de R&D,2,EPST,,,,,definitif,2.79
1561,74,Limousin,2003,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,416.55
1562,74,Limousin,2003,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,5.0
1563,74,Limousin,2003,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,2.0
1564,74,Limousin,2003,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
1565,74,Limousin,2003,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,4.6
1566,74,Limousin,2004,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,44.06
1567,74,Limousin,2004,dird,Depense interieure de R&D,2,EPST,,,,,definitif,2.82
1568,74,Limousin,2004,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,162.0
1569,74,Limousin,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,6.0
1570,74,Limousin,2004,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,8.8
1571,74,Limousin,2005,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,1.0
1572,74,Limousin,2005,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
1573,74,Limousin,2006,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,47.0
1574,74,Limousin,2006,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,178.1
1575,74,Limousin,2006,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,11.0
1576,74,Limousin,2006,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,4.9
1577,74,Limousin,2007,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.35
1578,74,Limousin,2007,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,0.74
1579,74,Limousin,2007,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,29.0
1580,74,Limousin,2007,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,195.1
1581,74,Limousin,2007,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,5.0
1582,74,Limousin,2008,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,55.23
1583,74,Limousin,2008,dird,Depense interieure de R&D,2,EPST,,,,,definitif,3.59
1584,74,Limousin,2008,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,43.0
1585,74,Limousin,2008,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,67.0
1586,74,Limousin,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,3.9
1587,74,Limousin,2009,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,59.97
1588,74,Limousin,2009,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.03
1589,74,Limousin,2009,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,16.1
1590,74,Limousin,2010,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,61.3
1591,74,Limousin,2010,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,244.4
1592,74,Limousin,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,14.0
1593,74,Limousin,2010,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,2.8
1594,74,Limousin,2011,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,564.5
1595,74,Limousin,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,16.5
1596,74,Limousin,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,8.1
1597,74,Limousin,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,semi-definitif,256.09
1598,74,Limousin,2013,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,semi-definitif,9.95
1599,74,Limousin,2013,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,semi-definitif,17.35
1600,74,Limousin,2013,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,semi-definitif,7.4
1601,22,Picardie,2009,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,56.0
1602,22,Picardie,2009,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,25.0
1603,22,Picardie,2009,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,11.44
1604,22,Picardie,2010,dird,Depense interieure de R&D,2,EPST,,,,,definitif,8.79
1605,22,Picardie,2010,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,27.14
1606,22,Picardie,2010,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,304.74
1607,22,Picardie,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,58.33
1608,22,Picardie,2011,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,22.2
1609,22,Picardie,2012,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,16.33
